Lat,Lon,Site_Number
33.12947688,-117.3431168,429
33.12568441,-117.3405924,430
33.10071641,-117.326666,431
33.07672619,-117.3189326,432
33.07200337,-117.3165213,433
33.06275365,-117.3122153,434
33.05462916,-117.3074474,435
33.03499081,-117.3011051,436
33.0293073,-117.2964516,437
33.02270359,-117.2931923,438
33.01428351,-117.289954,439
32.99815889,-117.2855209,440
32.98831988,-117.2839782,441
32.97958987,-117.2788532,442
32.95882493,-117.2776034,443
32.85370202,-117.2797482,444
32.84719426,-117.2917826,445
32.83695211,-117.2972083,446
32.82822187,-117.2905297,447
32.81561934,-117.2906154,448
32.80553616,-117.2833078,449
32.74249567,-117.2655176,450
32.733101,-117.2700596,451
32.71491404,-117.2703227,452
32.69347736,-117.2671128,453
32.67365811,-117.2617996,454
32.65688299,-117.2508669,455
32.58252366,-117.1560617,456
32.57617654,-117.1585332,457
32.56277229,-117.157984,458
32.52039333,-117.1392769,459
32.51586956,-117.1365998,460
32.50723651,-117.1318343,461
