Site,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144
21,NaN,112448,220591,1347,NaN,637052,NaN,115245,0,127221,304101,59221,32446,189668,323049,NaN,128255,279114,323106,5003,89935,630117,409130,0,0,1136535,31650,24952,NaN,331274,NaN,30890,0,581079,288681,1475,3246,598857,854649,449,0,655873,792552,0,0,NaN,28476,0,0,56882,NaN,0,0,232120,102314,4935,0,30509,253345,6093,3439,900165,942118,0,0,207881,283333,1492,29939,805999,299804,168051,32651,894223,356446,23765,0,75712,245509,15508,11949,357751,285269,172,1627,192163,231422,940,0,77529,330980,0,653,215730,350914,28596,0,72608,286172,40263,50638,405753,474884,34383,92188,436365,221916,56750,28340,547049,407652,144,64417,416395,535576,37084,69020,527151,384142,17991,2620,168827,218350,0,208,318894,230154,7715,74595,770610,56416,2085,0,9603,112814,5456,3517,280393,296697,1001,380,140940,141079,0
22,NaN,0,5834,0,NaN,NaN,NaN,19354,1448,16173,32410,1642,0,10610,85432,NaN,11135,9600,33141,0,0,37509,43161,2460,0,132522,134206,18062,NaN,10573,323879,1289,0,160694,168341,355,0,243847,289834,746,0,148988,493947,17956,0,NaN,39672,0,0,11303,NaN,0,NaN,49119,35640,6679,0,0,9227,5102,0,31604,62720,0,0,189,67414,7879,500,86926,124279,21283,0,128044,161001,22035,0,4285,23169,1804,0,2502,22012,0,0,8080,16176,0,0,17465,90602,0,530,62130,162418,10028,0,5617,56261,3518,137,13905,136652,646,1190,25910,109047,8747,156,24074,89313,0,0,3789,27478,483,0,1075,34714,1511,0,27801,39724,0,0,53574,140957,8329,4103,135926,86513,2893,0,14517,82701,9838,3087,106504,166737,15197,134,16844,26029,2794
23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,NaN,72405,60661,1801,NaN,NaN,NaN,78213,0,56739,119064,18480,2956,44477,71330,NaN,39965,67823,106161,0,475,253273,197353,10448,0,523051,88177,12791,NaN,30283,NaN,2184,0,254980,180242,565,0,301474,383430,0,0,272918,467835,3029,0,NaN,14062,0,0,53927,NaN,4054,NaN,103692,44372,8482,0,3924,66890,9712,0,218406,374208,0,0,14411,99531,11015,12094,216515,145413,57379,4304,328945,277946,35378,0,32740,94570,14492,3454,108078,139010,825,1147,71313,87310,1062,0,33986,154853,0,56,79569,138658,4359,0,19988,87170,3801,1959,40534,190972,1439,3996,129980,155935,6559,847,148260,169594,0,3561,89137,216645,14590,331,112217,175215,3007,1028,125534,128639,478,4112,251020,224408,6992,18037,373801,54139,1950,0,98754,275863,31973,5904,255042,265680,23714,1215,159035,84712,0
25,NaN,9149,38619,1605,NaN,118781,NaN,39692,0,29106,36523,958,1475,4159,79883,NaN,21453,16004,38738,0,2966,95781,122082,8881,0,268215,129328,15276,NaN,28671,317564,2303,0,177231,179342,1053,0,299775,396191,625,0,206754,568599,2710,0,NaN,16806,355,0,56090,NaN,3327,NaN,99714,70358,12545,0,828,61986,6487,0,123871,294980,500,0,9284,49060,9927,1502,115132,76860,19802,1269,144098,153385,13461,0,7220,24780,801,2201,13372,30986,157,0,18979,31851,0,0,18228,73989,0,467,60812,148756,3769,0,28422,111492,8411,1235,31111,138819,1311,9337,88992,147016,4832,199,115510,150633,0,700,12033,94649,296,0,26087,74134,326,630,56946,80711,340,2120,142800,188917,5945,29060,354440,73118,6878,0,131456,309732,25985,8894,278945,275389,22503,133,91159,82526,0
26,NaN,273199,215388,5140,NaN,NaN,NaN,134700,0,32963,214617,36589,12628,138813,116655,NaN,121613,146904,315809,359,17849,369029,343789,29431,0,662996,193226,45065,NaN,72058,NaN,12244,0,409971,192067,4456,12202,457789,603481,2239,0,217590,614176,652,0,NaN,48978,0,516,105777,NaN,3998,NaN,169063,113492,17673,0,8505,129378,10295,0,338093,509587,226,0,9170,173759,12896,20077,371823,305556,130808,30891,544523,424909,38498,0,58557,260565,45145,8895,167395,293296,1384,1034,93995,110352,2192,0,23545,175464,0,1609,101760,273065,22024,134,35912,244253,15443,12795,218470,354672,7492,29502,257103,210180,20908,8447,281059,279965,0,24049,113477,376597,42113,15167,225726,305195,8099,10057,243831,205417,1370,15152,423359,372767,14484,22644,483134,81715,5131,0,101788,357601,30154,14475,288430,360342,30673,0,136657,116847,268
27,NaN,9881,31708,0,NaN,109252,NaN,63937,0,58201,91295,14622,3266,66395,205519,NaN,53718,35488,93077,0,0,67968,85826,7532,0,71162,193237,44514,NaN,21429,337299,3458,0,198838,253945,3766,7700,287682,371638,2123,0,93382,579285,26985,0,NaN,63120,0,0,66351,NaN,9220,NaN,83338,63496,13142,0,0,35846,7038,0,53598,205835,0,0,1746,66397,7615,3410,54461,101816,19508,0,106451,158594,32134,0,1765,16335,2070,321,5833,29549,207,366,16941,21036,303,7696,24652,119886,0,935,42217,165396,945,0,1743,45799,311,2474,44382,199263,7774,12110,73634,164897,14814,3040,87152,172313,567,2068,33377,180931,5932,0,15106,113131,5905,1821,97392,146927,0,0,136766,248428,26636,22699,455350,199186,21429,184,192973,452803,45324,32492,451084,441459,41045,1811,102290,125227,864
28,NaN,30256,207413,3844,NaN,NaN,NaN,402116,0,1417,187801,16483,384,0,594600,297143,89370,652585,1137840,98801,32348,930540,1075180,212624,0,129460,732953,393790,NaN,33355,737974,18957,NaN,12105,348726,42576,5442,98039,439893,122398,0,NaN,NaN,2162,NaN,NaN,14918,0,0,576,NaN,15926,775,62705,20395,11272,315,0,11078,14140,0,98013,246985,131659,0,13119,510763,196042,3348,72915,457336,118904,0,27828,122481,63223,0,27767,197610,99146,37733,231637,795724,128775,7324,172539,471846,109836,0,19009,202166,10025,0,62349,455428,262911,0,54011,465476,143416,12007,173936,813810,37376,0,6358,439958,26204,4494,43658,274733,54715,10763,47362,409223,170625,12835,98349,299373,27516,591,23055,51950,7751,0,2012,9061,753,910,0,0,495,1740,0,0,923,2664,0,10315,2388,0,2318,27782,2467
29,NaN,37998,221681,15966,NaN,NaN,NaN,129960,0,0,97006,97670,2089,NaN,699758,155124,54979,764950,1387448,0,3510,472824,451884,14602,0,160446,486717,236230,NaN,99738,914487,1246,NaN,665,184023,0,1416,77178,365006,78858,0,NaN,NaN,1590,NaN,NaN,0,0,0,0,NaN,14138,510,80156,31692,15254,0,0,0,17842,0,282346,466456,19591,0,10947,564145,143367,835,114042,576140,197201,0,237568,584418,217481,0,24206,232881,99363,2695,235886,993606,143679,3605,234844,586577,89704,0,6229,136307,3681,0,111767,631018,231673,0,51859,339002,74085,4016,148909,504248,12220,399,7339,266109,15174,517,13209,275874,10794,3819,46733,725188,112928,14890,161995,209687,26334,80,4368,38121,3829,0,24603,32818,696,197,34980,10919,927,0,0,0,0,0,179,19338,3632,0,0,57198,8712
30,NaN,261438,238645,3326,NaN,876411,271459,43625,0,962,326389,220373,61582,NaN,186796,23434,138882,603812,815054,9230,64694,474689,193501,2892,0,353173,46210,16480,NaN,156336,447025,0,NaN,10811,49418,17601,8351,80345,380296,20182,4079,NaN,NaN,61027,NaN,NaN,113092,19007,1602,76152,NaN,165217,37244,586292,98663,42981,2377,0,NaN,162057,16638,1320201,1229858,4965,0,71334,754021,201126,8007,397026,473159,119221,1519,498198,882144,229211,337,76962,292188,89322,19315,310287,810440,62775,5321,201061,625535,91217,1928,143219,403831,16048,2099,281051,790246,189047,3713,136384,461991,54545,21375,288511,445238,10247,11892,88949,548312,86565,18843,180944,588335,26778,19705,230896,912253,20214,66436,391757,196928,50255,7631,88583,99115,5677,1050,219441,205101,6383,16881,147321,414965,121854,4352,6920,14595,5785,6161,97176,47874,8640,1007,3359,30704,2162
